LOINC Code;LOINC Label                                                                                                              ;Relation;Local Code;Local Label                                                    ;UCUM Unit      ;Unit Conversion        ;Local Unit;Molecular weight (g/mol);OK/Not OK;Comments
14573-0   ;5-Hydroxyindoleacetate [Moles/time] in 24 hour Urine                                                                     ;=       ;654       ;5-Hydroxyindolessigsäure Aussch..Sammelurin sauer.berechnet    ;umol/(24.h)    ;x*5.23050851           ;mg/d      ;191,18                  ;         ;
1754-1    ;Albumin [Mass/volume] in Urine                                                                                           ;=       ;533       ;Albumin Konzentration.SpUrin(z) .Nephelometrie                 ;g/dL           ;x*1.0E-4               ;mg/l      ;66500                   ;         ;
2428-1    ;Homocysteine [Mass/volume] in Serum or Plasma                                                                            ;=       ;896       ;Homocystein.EDTA (z) .CLIA                                     ;               ;Unknown conversion     ;µmol/l    ;                        ;         ;
13965-9   ;Homocysteine [Moles/volume] in Serum or Plasma                                                                           ;=       ;896       ;Homocystein.EDTA (z) .CLIA                                     ;umol/L         ;x*1.0                  ;µmol/l    ;                        ;         ;
33558-8   ;Creatinine renal clearance in collected for unspecified duration                                                         ;=       ;775       ;Kreatininclear. bez.a. Körperob..Sammelurin .berechnet         ;               ;Unknown conversion     ;ml/min    ;                        ;         ;
32294-1   ;Albumin/Creatinine [Ratio] in Urine                                                                                      ;=       ;534       ;Albuminkonz. bez. auf Kreatinin.SpUrin(z) .berechnet           ;mg/mmol{creat} ;x*1.0                  ;g/mol K.  ;                        ;         ;
2132-9    ;Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma                                                                 ;=       ;897       ;Vitamin B12.Serum .ECLIA                                       ;pg/mL          ;x*1.355365177          ;pmol/l    ;1355,365177             ;         ;
14685-2   ;Cobalamin (Vitamin B12) [Moles/volume] in Serum or Plasma                                                                ;=       ;897       ;Vitamin B12.Serum .ECLIA                                       ;pmol/L         ;x*1.0                  ;pmol/l    ;1355,365177             ;         ;
48495-6   ;Transferrin.carbohydrate deficient/Transferrin.total in Serum or Plasma                                                  ;=       ;898       ;CDT.Serum .berechnet                                           ;%              ;x*1.0                  ;%         ;                        ;         ;
33415-1   ;IgG [Mass/volume] in Urine                                                                                               ;=       ;535       ;IgG Konzentration.SpUrin(z) .Nephelometrie                     ;mg/dL          ;x*0.1                  ;mg/l      ;150000                  ;         ;
76490-2   ;IgG [Moles/volume] in Urine                                                                                              ;=       ;535       ;IgG Konzentration.SpUrin(z) .Nephelometrie                     ;umol/L         ;x*0.006666666666666666 ;mg/l      ;150000                  ;         ;
2147-7    ;Cortisol Free [Mass/time] in 24 hour Urine                                                                               ;=       ;778       ;freies Cortisol Ausscheidung.Sammelurin .berechnet             ;ug/(24.h)      ;x*1.0                  ;µg/d      ;                        ;         ;
14676-1   ;Cortisol Free [Moles/time] in 24 hour Urine                                                                              ;=       ;778       ;freies Cortisol Ausscheidung.Sammelurin .berechnet             ;nmol/(24.h)    ;x*2.75892588           ;µg/d      ;                        ;         ;
33948-1   ;IgG/Creatinine [Mass Ratio] in Urine                                                                                     ;=       ;536       ;IgG-Konz. bez. auf Kreatinin.SpUrin(z) .berechnet              ;mg/g{creat}    ;x*8.8403354            ;g/mol K.  ;                        ;         ;
9679-2    ;Squamous cell carcinoma Ag [Mass/volume] in Serum or Plasma                                                              ;=       ;5434      ;SCC (IBL).Serum .EIA                                           ;ng/mL          ;x*1.0                  ;ng/ml     ;45000                   ;         ;
19208-8   ;Squamous cell carcinoma Ag [Moles/volume] in Serum or Plasma                                                             ;=       ;5434      ;SCC (IBL).Serum .EIA                                           ;umol/L         ;x*2.2222222222222223E-5;ng/ml     ;45000                   ;         ;
46723-3   ;Alpha-1-Microglobulin [Mass/volume] in Urine                                                                             ;=       ;537       ;A1-Mikroglobulin.SpUrin(z) .Nephelometrie                      ;mg/L           ;x*1.0                  ;mg/l      ;26000                   ;         ;
77163-4   ;Alpha-1-Microglobulin [Moles/volume] in Urine                                                                            ;=       ;537       ;A1-Mikroglobulin.SpUrin(z) .Nephelometrie                      ;nmol/L         ;x*38.46153846153846    ;mg/l      ;26000                   ;         ;
24522-5   ;Epinephrine/Creatinine [Molar ratio] in Urine                                                                            ;=       ;658       ;Adrenalin bez. auf Kreatinin.SpUrin(z) .berechnet              ;umol/mol{creat};x*1.0                  ;µmol/mol  ;                        ;         ;
20454-5   ;Protein [Presence] in Urine by Test strip                                                                                ;=       ;779       ;Protein (vorwiegend Albumin).Spontanurin .Teststreifen         ;               ;                       ;          ;                        ;         ;
83116-4   ;Testosterone [Mass/volume] in Serum or Plasma by Immunoassay                                                             ;=       ;5435      ;Testosteron.Serum .ECLIA                                       ;ng/mL          ;x*1.0                  ;µg/l      ;288,42442               ;         ;
83115-6   ;Testosterone [Moles/volume] in Serum or Plasma by Immunoassay                                                            ;=       ;5435      ;Testosteron.Serum .ECLIA                                       ;nmol/L         ;x*3.4671128054968436   ;µg/l      ;288,42442               ;         ;
48415-4   ;Alpha-1-Microglobulin/Creatinine [Mass Ratio] in Urine                                                                   ;=       ;538       ;Alpha1Mikroglob. bez. auf Krea..SpUrin(z) .berechnet           ;mg/g{creat}    ;x*8.8403354            ;g/mol K.  ;                        ;         ;
1992-7    ;Calcitonin [Mass/volume] in Serum or Plasma                                                                              ;=       ;5315      ;Calcitonin.Serum .CLIA                                         ;ng/L           ;x*1.0                  ;pg/ml     ;3431,895                ;         ;
15035-9   ;Calcitonin [Moles/volume] in Serum or Plasma                                                                             ;=       ;5315      ;Calcitonin.Serum .CLIA                                         ;pmol/L         ;x*0.29138420610187665  ;pg/ml     ;3431,895                ;         ;
6888-2    ;Alpha 2 globulin [Mass/volume] in Urine                                                                                  ;=       ;539       ;A2-Makroglobulin.SpUrin(z) .Nephelometrie                      ;g/dL           ;x*1.0E-4               ;mg/l      ;                        ;         ;
20568-2   ;Prolactin [Mass/volume] in Serum or Plasma by Immunoassay                                                                ;=       ;5332      ;Prolactin.Serum .ECLIA                                         ;ng/mL          ;x*1.0                  ;µg/l      ;                        ;         ;
1854-9    ;Androstenedione [Mass/volume] in Serum or Plasma                                                                         ;=       ;5334      ;Androstendion.Serum .CLIA                                      ;ng/mL          ;x*1.0                  ;µg/l      ;286,415                 ;         ;
14603-5   ;Androstenedione [Moles/volume] in Serum or Plasma                                                                        ;=       ;5334      ;Androstendion.Serum .CLIA                                      ;nmol/L         ;x*3.4914372501440214   ;µg/l      ;286,415                 ;         ;
5770-3    ;Bilirubin.total [Presence] in Urine by Test strip                                                                        ;=       ;781       ;Bilirubin.Spontanurin .Teststreifen                            ;               ;                       ;          ;                        ;         ;
3092-4    ;Urea [Mass/volume] in Urine                                                                                              ;=       ;10008     ;Harnstoff.Li-Heparin .photometrisch                            ;mg/dL          ;x*6.005526             ;mmol/l    ;60,05526                ;         ;
22700-9   ;Urea [Moles/volume] in Urine                                                                                             ;=       ;10008     ;Harnstoff.Li-Heparin .photometrisch                            ;mmol/L         ;x*1.0                  ;mmol/l    ;60,05526                ;         ;
24523-3   ;Norepinephrine/Creatinine [Molar ratio] in Urine                                                                         ;=       ;660       ;Noradrenalin bez. a. Kreatinin.SpUrin(z) .berechnet            ;umol/mol{creat};x*1.0                  ;µmol/mol  ;                        ;         ;
27365-6   ;Immunoglobulin light chains.kappa [Mass/volume] in Urine                                                                 ;=       ;540       ;Kappa Leichtketten Konzentration.SpUrin(z) .Nephelometrie      ;mg/dL          ;x*0.1                  ;mg/l      ;                        ;         ;
2774-8    ;Phosphate [Mass/volume] in Blood                                                                                         ;=       ;10007     ;Phosphat anorganisch.Li-Heparin .photometrisch                 ;mg/dL          ;x*9.49714              ;mmol/l    ;94,9714                 ;         ;
24519-1   ;Phosphate [Moles/volume] in Blood                                                                                        ;=       ;10007     ;Phosphat anorganisch.Li-Heparin .photometrisch                 ;mmol/L         ;x*1.0                  ;mmol/l    ;94,9714                 ;         ;
20454-5   ;Protein [Presence] in Urine by Test strip                                                                                ;=       ;782       ;Protein (vorwiegend Albumin).Sammelurin .Teststreifen          ;               ;                       ;          ;                        ;         ;
24524-1   ;Dopamine/Creatinine [Molar ratio] in Urine                                                                               ;=       ;662       ;Dopamin bez. auf Kreatinin.SpUrin(z) .berechnet                ;umol/mol{creat};x*1.0                  ;µmol/mol  ;                        ;         ;
27394-6   ;Immunoglobulin light chains.lambda [Mass/volume] in Urine                                                                ;=       ;541       ;Lambda Leichtketten Konzentr..SpUrin(z) .Nephelometrie         ;mg/dL          ;x*0.1                  ;mg/l      ;                        ;         ;
27394-6   ;Immunoglobulin light chains.lambda [Mass/volume] in Urine                                                                ;=       ;542       ;Kappa/Lambda-Quotient.SpUrin(z) .berechnet                     ;mg/dL          ;Unknown conversion     ;          ;                        ;         ;
38483-4   ;Creatinine [Mass/volume] in Blood                                                                                        ;=       ;10009     ;Kreatinin.Li-Heparin .Mod. Jaffe, kinetisch                    ;mg/dL          ;x*0.011311788          ;µmol/l    ;113,11788               ;         ;
59826-8   ;Creatinine [Moles/volume] in Blood                                                                                       ;=       ;10009     ;Kreatinin.Li-Heparin .Mod. Jaffe, kinetisch                    ;umol/L         ;x*1.0                  ;µmol/l    ;113,11788               ;         ;
11558-4   ;pH of Blood                                                                                                              ;=       ;301       ;pH.BGA .Potentiometrie                                         ;[pH]           ;x*1.0                  ;          ;                        ;         ;
14948-4   ;Vanillylmandelate/Creatinine [Molar ratio] in Urine                                                                      ;=       ;664       ;Vanillinmandelsre. bez. a. Krea..SpUrin(z) .berechnet          ;mmol/mol{creat};x*1.0                  ;mmol/mol  ;                        ;         ;
10989-2   ;Itraconazole [Mass/volume] in Serum or Plasma                                                                            ;=       ;786       ;Itraconazol.EDTA (z) .HPLC                                     ;ug/mL          ;x*0.001                ;µg/l      ;                        ;         ;
11557-6   ;Carbon dioxide [Partial pressure] in Blood                                                                               ;=       ;302       ;pCO2.BGA .Potentiometrie                                       ;mm[Hg]         ;x*1.0                  ;mm Hg     ;                        ;         ;
30106-9   ;Acetylcholinesterase [Presence] in Amniotic fluid                                                                        ;=       ;424       ;ACHE Elektrophorese.Fruchtwasser .Elektrophorese               ;               ;                       ;          ;                        ;         ;
3390-2    ;Benzodiazepines [Presence] in Urine                                                                                      ;=       ;545       ;Benzodiazepine.Spontanurin .Immunchromatographie               ;               ;                       ;          ;                        ;         ;
22708-2   ;Homovanillate/Creatinine [Molar ratio] in Urine                                                                          ;=       ;666       ;Homovanillinsre. bez. a. Krea..SpUrin(z) .berechnet            ;mmol/mol{creat};x*1.0                  ;mmol/mol  ;                        ;         ;
11556-8   ;Oxygen [Partial pressure] in Blood                                                                                       ;=       ;303       ;pO2.BGA .Amperometrie                                          ;mm[Hg]         ;x*1.0                  ;mm Hg     ;                        ;         ;
1959-6    ;Bicarbonate [Moles/volume] in Blood                                                                                      ;=       ;304       ;Bicarbonat.BGA .berechnet                                      ;mmol/L         ;x*1.0                  ;mmol/l    ;                        ;         ;
27081-9   ;Itraconazole+Hydroxyitraconazole [Mass/volume] in Serum or Plasma                                                        ;=       ;788       ;Itraconazol+Hydroxy-Itraconazol.EDTA (z) .HPLC                 ;mg/mL          ;x*1.0E-6               ;µg/l      ;                        ;         ;
72720-6   ;Base excess.100% oxygenated [Moles/volume] standard in Capillary blood by calculation                                    ;~       ;305       ;Basenabweichung.BGA .berechnet                                 ;mmol/L         ;x*1.0                  ;mmol/l    ;                        ;         ;
20448-7   ;Insulin [Units/volume] in Serum or Plasma                                                                                ;=       ;5324      ;Insulin.Serum .ECLIA                                           ;u[IU]/mL       ;x*1.0                  ;mU/l      ;                        ;         ;
38370-3   ;Voriconazole [Mass/volume] in Serum or Plasma                                                                            ;=       ;5445      ;Voriconazol.EDTA (z) .HPLC                                     ;ug/mL          ;x*0.001                ;µg/l      ;                        ;         ;
1986-9    ;C peptide [Mass/volume] in Serum or Plasma                                                                               ;=       ;5325      ;C-Peptid.Serum .                                               ;ng/mL          ;x*1.0                  ;µg/l      ;3020,304                ;         ;
14633-2   ;C peptide [Moles/volume] in Serum or Plasma                                                                              ;=       ;5325      ;C-Peptid.Serum .                                               ;pmol/L         ;x*331.0924992980839    ;µg/l      ;3020,304                ;         ;
2614-6    ;Methemoglobin/Hemoglobin.total in Blood                                                                                  ;=       ;306       ;Methämoglobin.BGA .photometrisch                               ;%              ;x*1.0                  ;%         ;                        ;         ;
20563-3   ;Carboxyhemoglobin/Hemoglobin.total in Blood                                                                              ;=       ;307       ;CO-Hb.BGA .photometrisch                                       ;%              ;x*1.0                  ;%         ;                        ;         ;
83088-5   ;Cortisol [Mass/volume] in Serum or Plasma by Immunoassay                                                                 ;=       ;5326      ;Cortisol.Serum .ECLIA                                          ;ng/mL          ;x*10.0                 ;µg/dl     ;362,4599                ;         ;
83090-1   ;Cortisol [Moles/volume] in Serum or Plasma by Immunoassay                                                                ;=       ;5326      ;Cortisol.Serum .ECLIA                                          ;nmol/L         ;x*27.58925883939161    ;µg/dl     ;362,4599                ;         ;
75940-7   ;Potassium [Mass/volume] in Blood                                                                                         ;=       ;10002     ;Kalium.Li-Heparin .indirekte ISE                               ;mg/dL          ;x*3.9098300000000004   ;mmol/l    ;39,0983                 ;         ;
6298-4    ;Potassium [Moles/volume] in Blood                                                                                        ;=       ;10002     ;Kalium.Li-Heparin .indirekte ISE                               ;mmol/L         ;x*1.0                  ;mmol/l    ;39,0983                 ;         ;
2695-5    ;Osmolality of Urine                                                                                                      ;=       ;549       ;Osmolalität.SpUrin(z) .Gefrierpkterniedriegung                 ;mosm/kg        ;x*1.0                  ;mosm/kg   ;                        ;         ;
718-7     ;Hemoglobin [Mass/volume] in Blood                                                                                        ;=       ;308       ;Hämoglobin.BGA .photometrisch                                  ;g/dL           ;x*1.0                  ;g/dl      ;64458                   ;         ;
59260-0   ;Hemoglobin [Moles/volume] in Blood                                                                                       ;=       ;308       ;Hämoglobin.BGA .photometrisch                                  ;mmol/L         ;x*0.15513978094262929  ;g/dl      ;64458                   ;         ;
2947-0    ;Sodium [Moles/volume] in Blood                                                                                           ;=       ;10001     ;Natrium.Li-Heparin .indirekte ISE                              ;mmol/L         ;x*1.0                  ;mmol/l    ;22,99                   ;         ;
21377-7   ;Magnesium [Mass/volume] in Blood                                                                                         ;=       ;10004     ;Magnesium.Li-Heparin .photometrisch                            ;mg/dL          ;x*2.4305000000000003   ;mmol/l    ;24,305                  ;         ;
2593-2    ;Magnesium [Moles/volume] in Blood                                                                                        ;=       ;10004     ;Magnesium.Li-Heparin .photometrisch                            ;mmol/L         ;x*1.0                  ;mmol/l    ;24,305                  ;         ;
49765-1   ;Calcium [Mass/volume] in Blood                                                                                           ;=       ;10003     ;Calcium.Li-Heparin .photometrisch                              ;mg/dL          ;x*4.0078000000000005   ;mmol/l    ;40,078                  ;         ;
1996-8    ;Calcium [Moles/volume] in Blood                                                                                          ;=       ;10003     ;Calcium.Li-Heparin .photometrisch                              ;mmol/L         ;x*1.0                  ;mmol/l    ;40,078                  ;         ;
2191-5    ;Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma                                                 ;=       ;5329      ;DHEA-Sulfat.Serum .ECLIA                                       ;ug/dL          ;x*1.0                  ;µg/dl     ;368,48762               ;         ;
14688-6   ;Dehydroepiandrosterone sulfate (DHEA-S) [Moles/volume] in Serum or Plasma                                                ;=       ;5329      ;DHEA-Sulfat.Serum .ECLIA                                       ;umol/L         ;x*0.027137953779831192 ;µg/dl     ;368,48762               ;         ;
2069-3    ;Chloride [Moles/volume] in Blood                                                                                         ;=       ;10005     ;Chlorid.Li-Heparin .indirekte ISE                              ;mmol/L         ;x*1.0                  ;mmol/l    ;35,45                   ;         ;
3209-4    ;Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay                              ;=       ;5461      ;Faktor VIII-Aktivität.Citrat .Clotting                         ;%              ;x*1.0                  ;%         ;                        ;         ;
33516-6   ;Immature reticulocytes/Reticulocytes.total in Blood                                                                      ;=       ;5340      ;unreife Retikulozytenfraktion.EDTA .optisch, Lasertechnol.     ;%              ;x*1.0                  ;%         ;                        ;         ;
3187-2    ;Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay                                ;=       ;5462      ;Faktor IX-Aktivität.Citrat .Clotting                           ;%              ;x*1.0                  ;%         ;                        ;         ;
71694-4   ;Hemoglobin [Entitic mass] in Reticulocytes by Automated count                                                            ;=       ;5341      ;Hb-Gehalt Retikulozyten.EDTA .optisch, Lasertechnol.           ;pg             ;x*1.0                  ;pg        ;                        ;         ;
3289-6    ;Prothrombin activity actual/normal in Platelet poor plasma by Coagulation assay                                          ;=       ;5463      ;Faktor II.Citrat .Clotting                                     ;%              ;x*1.0                  ;%         ;                        ;         ;
3193-0    ;Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay                                 ;=       ;5464      ;Faktor V.Citrat .Clotting                                      ;%              ;x*1.0                  ;%         ;                        ;         ;
3198-9    ;Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay                               ;=       ;5465      ;Faktor VII.Citrat .Clotting                                    ;%              ;x*1.0                  ;%         ;                        ;         ;
53731-6   ;Posaconazole [Mass/volume] in Serum or Plasma                                                                            ;=       ;5344      ;Posaconazol.EDTA (z) .HPLC                                     ;ug/mL          ;x*0.001                ;µg/l      ;                        ;         ;
3218-5    ;Coagulation factor X activity actual/normal in Platelet poor plasma by Coagulation assay                                 ;=       ;5466      ;Faktor X.Citrat .Clotting                                      ;%              ;x*1.0                  ;%         ;                        ;         ;
14831-2   ;Metanephrine/Creatinine [Molar ratio] in Urine                                                                           ;=       ;790       ;Gesamtmetanephrin bez. auf Krea..SpUrin(z) .berechnet          ;mmol/mol{creat};x*1.0                  ;mmol/mol  ;                        ;         ;
19124-7   ;Magnesium [Mass/volume] in Urine                                                                                         ;=       ;10579     ;Magnesium Konzentration.Sammelurin .photometrisch              ;mg/dL          ;x*2.4305000000000003   ;mmol/l    ;24,305                  ;         ;
2598-1    ;Magnesium [Moles/volume] in Urine                                                                                        ;=       ;10579     ;Magnesium Konzentration.Sammelurin .photometrisch              ;mmol/L         ;x*1.0                  ;mmol/l    ;24,305                  ;         ;
2731-8    ;Parathyrin.intact [Mass/volume] in Serum or Plasma                                                                       ;=       ;793       ;Parathormon.EDTA (z) .CLIA                                     ;pg/mL          ;x*1.0                  ;pg/ml     ;4117,71514              ;         ;
14866-8   ;Parathyrin.intact [Moles/volume] in Serum or Plasma                                                                      ;=       ;793       ;Parathormon.EDTA (z) .CLIA                                     ;pmol/L         ;x*0.24285312752353236  ;pg/ml     ;4117,71514              ;         ;
14979-9   ;aPTT in Platelet poor plasma by Coagulation assay                                                                        ;>       ;311       ;PTT Hepzyme.Citrat .Turbidimetrie                              ;s              ;x*1.0                  ;sec.      ;                        ;         ;
5894-1    ;Prothrombin time (PT) actual/Normal                                                                                      ;=       ;315       ;Quick.Citrat .Turbidimetrie                                    ;%              ;x*1.0                  ;%         ;                        ;         ;
2193-1    ;Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma                                                           ;=       ;5335      ;DHEA *.Serum .RIA                                              ;ng/mL          ;x*1.0                  ;µg/l      ;288,431                 ;         ;
15054-0   ;Dehydroepiandrosterone (DHEA) [Moles/volume] in Serum or Plasma                                                          ;=       ;5335      ;DHEA *.Serum .RIA                                              ;umol/L         ;x*0.003467033709968762 ;µg/l      ;288,431                 ;         ;
2160-0    ;Creatinine [Mass/volume] in Serum or Plasma                                                                              ;=       ;10572     ;Kreatinin im Plasma.BELLA .Mod. Jaffe, kinetisch               ;mg/dL          ;x*0.011311788          ;µmol/l    ;113,11788               ;         ;
14682-9   ;Creatinine [Moles/volume] in Serum or Plasma                                                                             ;=       ;10572     ;Kreatinin im Plasma.BELLA .Mod. Jaffe, kinetisch               ;umol/L         ;x*1.0                  ;µmol/l    ;113,11788               ;         ;
14979-9   ;aPTT in Platelet poor plasma by Coagulation assay                                                                        ;=       ;316       ;PTT.Citrat .Turbidimetrie                                      ;s              ;x*1.0                  ;sec.      ;                        ;         ;
1668-3    ;17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma                                                                  ;=       ;5336      ;17alpha-Hydroxyprogesteron.Serum .ELISA                        ;ng/dL          ;x*100.0                ;µg/l      ;330,4611                ;         ;
14569-8   ;17-Hydroxyprogesterone [Moles/volume] in Serum or Plasma                                                                 ;=       ;5336      ;17alpha-Hydroxyprogesteron.Serum .ELISA                        ;nmol/L         ;x*3.0260747785442828   ;µg/l      ;330,4611                ;         ;
3255-7    ;Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay                                                    ;>       ;438       ;Fibrinogen nach Schulz.Citrat .Hitzefällung                    ;mg/dL          ;x*100.0                ;g/l       ;                        ;         ;
3255-7    ;Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay                                                    ;=       ;318       ;Fibrinogen.Citrat .Turbidimetrie                               ;mg/dL          ;x*100.0                ;g/l       ;                        ;         ;
71693-6   ;Platelets reticulated/100 platelets in Blood by Automated count                                                          ;=       ;5339      ;unreife Thrombozytenfraktion.EDTA .optisch, Lasertechnol.      ;%              ;x*1.0                  ;%         ;                        ;         ;
27816-8   ;von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunoassay                                      ;=       ;5470      ;von Willebrand Antigen.Citrat .Turbidimetrie                   ;%              ;x*1.0                  ;%         ;                        ;         ;
6014-5    ;von Willebrand factor (vWf) ristocetin cofactor actual/normal in Platelet poor plasma by Aggregation                     ;=       ;5471      ;Ristocetin Kofaktor.Citrat .Turbidimetrie                      ;%              ;x*1.0                  ;%         ;                        ;         ;
3204-5    ;Coagulation factor VIII inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay                            ;=       ;5472      ;Faktor VIII Inhibitor **.Citrat .berechnet                     ;               ;x*1.0                  ;B.E       ;                        ;         ;
24471-5   ;Platelet function (closure time) collagen+Epinephrine induced [Time] in Blood                                            ;=       ;5477      ;Epinephrin.PFA .Verschlußzeit                                  ;s              ;x*1.0                  ;sec.      ;                        ;         ;
24447-5   ;Magnesium [Mass/time] in 24 hour Urine                                                                                   ;=       ;10580     ;Magnesium Ausscheidung.Sammelurin .berechnet                   ;mg/(24.h)      ;x*24.305               ;mmol/d    ;                        ;         ;
2599-9    ;Magnesium [Moles/time] in 24 hour Urine                                                                                  ;=       ;10580     ;Magnesium Ausscheidung.Sammelurin .berechnet                   ;mmol/(24.h)    ;x*1.0                  ;mmol/d    ;                        ;         ;
44038-8   ;Bacteria [Presence] in Unspecified specimen                                                                              ;=       ;686       ;Bakterien.Sondermaterial .                                     ;               ;                       ;          ;                        ;         ;
3187-2    ;Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay                                ;=       ;5467      ;Faktor XI.Citrat .Clotting                                     ;%              ;x*1.0                  ;%         ;                        ;         ;
15355-1   ;Estrone sulfate [Mass/volume] in Serum or Plasma                                                                         ;=       ;5346      ;Oestronsulfat.Serum .RIA                                       ;pg/mL          ;x*1000.0               ;ng/ml     ;                        ;         ;
3232-6    ;Coagulation factor XII activity actual/normal in Platelet poor plasma by Coagulation assay                               ;=       ;5468      ;Faktor XII.Citrat .Clotting                                    ;%              ;x*1.0                  ;%         ;                        ;         ;
3239-1    ;Coagulation factor XIII Ag actual/normal in Platelet poor plasma by Immunoassay                                          ;~       ;5469      ;Faktor XIII.Citrat .Clotting                                   ;%              ;x*1.0                  ;%         ;                        ;         ;
2885-2    ;Protein [Mass/volume] in Serum or Plasma                                                                                 ;=       ;10101     ;Protein.Serum .photometrisch                                   ;g/dL           ;x*0.1                  ;g/l       ;                        ;         ;
27821-8   ;Protein S Free Ag actual/normal in Platelet poor plasma by Immunoassay                                                   ;=       ;5348      ;Protein S Antigen frei.Citrat .photometrisch                   ;%              ;x*1.0                  ;%         ;                        ;         ;
3719-2    ;Lithium [Mass/volume] in Serum or Plasma                                                                                 ;=       ;10100     ;Lithium.Serum .photometrisch                                   ;ug/mL          ;x*6.941                ;mmol/l    ;6,941                   ;         ;
14334-7   ;Lithium [Moles/volume] in Serum or Plasma                                                                                ;=       ;10100     ;Lithium.Serum .photometrisch                                   ;mol/L          ;x*0.001                ;mmol/l    ;6,941                   ;         ;
2888-6    ;Protein [Mass/volume] in Urine                                                                                           ;=       ;10588     ;Protein Konzentration.SpUrin(z) .photometrisch                 ;g/dL           ;x*1.0E-4               ;mg/l      ;                        ;         ;
51695-5   ;Chloride [Mass/time] in 24 hour Urine                                                                                    ;=       ;10557     ;Chlorid Ausscheidung.Sammelurin .berechnet                     ;g/(24.h)       ;x*0.03545              ;mmol/d    ;                        ;         ;
2079-2    ;Chloride [Moles/time] in 24 hour Urine                                                                                   ;=       ;10557     ;Chlorid Ausscheidung.Sammelurin .berechnet                     ;mmol/(24.h)    ;x*1.0                  ;mmol/d    ;                        ;         ;
789-8     ;Erythrocytes [#/volume] in Blood by Automated count                                                                      ;~       ;331       ;Erythrozyten.EDTA .Widerstandsmessung                          ;10*6/uL        ;x*1.0                  ;Tera/l    ;                        ;         ;
41599-2   ;Bacteria [Presence] in Body fluid by Light microscopy                                                                    ;=       ;695       ;Bakterien.Liquor .                                             ;               ;                       ;          ;                        ;         ;
6690-2    ;Leukocytes [#/volume] in Blood by Automated count                                                                        ;=       ;332       ;Leukozyten.EDTA .optisch, Lasertechnol.                        ;10*3/uL        ;x*1.0                  ;Giga/l    ;                        ;         ;
3559-2    ;Digitoxin [Mass/volume] in Serum or Plasma                                                                               ;=       ;212       ;Digitoxin.Li-Heparin .ECLIA                                    ;ng/mL          ;x*1.0                  ;µg/l      ;764,95                  ;         ;
15104-3   ;Digitoxin [Moles/volume] in Serum or Plasma                                                                              ;=       ;212       ;Digitoxin.Li-Heparin .ECLIA                                    ;umol/L         ;x*0.0013072749852931563;µg/l      ;764,95                  ;         ;
26450-7   ;Eosinophils/100 leukocytes in Blood                                                                                      ;=       ;454       ;Eosinophile relativ.EDTA .                                     ;%              ;x*1.0                  ;%         ;                        ;         ;
26455-6   ;Erythrocytes [#/volume] in Body fluid                                                                                    ;=       ;696       ;Erythrozyten.Liquor .                                          ;10*3/uL        ;x*0.001                ;Zell./µl  ;                        ;         ;
55782-7   ;Hemoglobin [Mass/volume] in Blood by Oximetry                                                                            ;=       ;333       ;Hämoglobin.EDTA .photometrisch                                 ;g/dL           ;x*1.0                  ;g/dl      ;64458                   ;         ;
2779-7    ;Phosphate [Mass/time] in 24 hour Urine                                                                                   ;=       ;10559     ;Phosphat Ausscheidung.Sammelurin .berechnet                    ;mg/(24.h)      ;x*94.9714              ;mmol/d    ;                        ;         ;
14881-7   ;Phosphate [Moles/time] in 24 hour Urine                                                                                  ;=       ;10559     ;Phosphat Ausscheidung.Sammelurin .berechnet                    ;mmol/(24.h)    ;x*1.0                  ;mmol/d    ;                        ;         ;
30180-4   ;Basophils/100 leukocytes in Blood                                                                                        ;=       ;455       ;Basophile relativ.EDTA .                                       ;%              ;x*1.0                  ;%         ;                        ;         ;
20570-8   ;Hematocrit [Volume Fraction] of Blood                                                                                    ;=       ;334       ;Hämatokrit.EDTA .berechnet                                     ;%              ;x*100.0                ;l/l       ;                        ;         ;
26478-8   ;Lymphocytes/100 leukocytes in Blood                                                                                      ;=       ;456       ;Lymphozyten relativ.EDTA .                                     ;%              ;x*1.0                  ;%         ;                        ;         ;
28539-5   ;Erythrocyte mean corpuscular hemoglobin [Entitic mass]                                                                   ;=       ;335       ;MCH.EDTA .berechnet                                            ;pg             ;x*1.0                  ;pg        ;                        ;         ;
5633-3    ;Copper [Mass/time] in 24 hour Urine                                                                                      ;=       ;578       ;Kupfer Ausscheidung.Sammelurin .berechnet                      ;ug/(24.h)      ;x*63.546               ;µmol/d    ;                        ;         ;
